A,B,xab_type_freq
./experimentFiles/gabors/testing/pair99/gab_sig28_0_theta0_4_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair99/gab_sig28_0_theta0_4_psi3_1_gam2_20_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair94/gab_sig28_0_theta0_5_psi0_0_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair94/gab_sig28_0_theta0_5_psi0_0_gam1_00_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair98/gab_sig20_0_theta1_2_psi0_0_gam2_20_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair98/gab_sig20_0_theta1_2_psi0_0_gam1_80_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair91/gab_sig32_0_theta0_9_psi3_1_gam2_20_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair91/gab_sig32_0_theta0_9_psi3_1_gam1_80_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair95/gab_sig28_0_theta1_1_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair95/gab_sig28_0_theta1_1_psi3_1_gam1_40_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair92/gab_sig32_0_theta2_0_psi0_0_gam2_20_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair92/gab_sig32_0_theta2_0_psi0_0_gam2_20_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair96/gab_sig28_0_theta0_2_psi0_0_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair96/gab_sig28_0_theta0_2_psi0_0_gam1_80_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair93/gab_sig32_0_theta0_9_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair93/gab_sig32_0_theta0_9_psi3_1_gam2_20_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair97/gab_sig20_0_theta0_6_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair97/gab_sig20_0_theta0_6_psi3_1_gam1_00_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair90/gab_sig32_0_theta0_9_psi0_0_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair90/gab_sig32_0_theta0_9_psi0_0_gam1_00_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair89/gab_sig28_0_theta0_6_psi3_1_gam2_20_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair89/gab_sig28_0_theta0_6_psi3_1_gam2_20_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair81/gab_sig28_0_theta0_7_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair81/gab_sig28_0_theta0_7_psi3_1_gam2_20_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair84/gab_sig28_0_theta0_2_psi0_0_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair84/gab_sig28_0_theta0_2_psi0_0_gam1_40_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair82/gab_sig20_0_theta2_0_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair82/gab_sig20_0_theta2_0_psi3_1_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair83/gab_sig32_0_theta0_8_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair83/gab_sig32_0_theta0_8_psi3_1_gam1_00_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair88/gab_sig32_0_theta0_4_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair88/gab_sig32_0_theta0_4_psi3_1_gam1_40_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair80/gab_sig28_0_theta1_7_psi0_0_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair80/gab_sig28_0_theta1_7_psi0_0_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair86/gab_sig28_0_theta1_2_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair86/gab_sig28_0_theta1_2_psi3_1_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair87/gab_sig32_0_theta0_3_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair87/gab_sig32_0_theta0_3_psi3_1_gam1_00_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair85/gab_sig20_0_theta0_3_psi0_0_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair85/gab_sig24_0_theta0_3_psi0_0_gam1_40_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair72/gab_sig32_0_theta2_0_psi3_1_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair72/gab_sig28_0_theta2_0_psi3_1_gam1_40_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair70/gab_sig28_0_theta0_6_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair70/gab_sig28_0_theta0_6_psi3_1_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair76/gab_sig20_0_theta2_1_psi3_1_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair76/gab_sig20_0_theta2_1_psi3_1_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair78/gab_sig24_0_theta0_2_psi3_1_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair78/gab_sig24_0_theta0_2_psi3_1_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair77/gab_sig28_0_theta1_0_psi3_1_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair77/gab_sig32_0_theta1_0_psi3_1_gam1_00_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair73/gab_sig28_0_theta0_9_psi0_0_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair73/gab_sig32_0_theta0_9_psi0_0_gam1_00_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair79/gab_sig32_0_theta1_0_psi3_1_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair79/gab_sig32_0_theta1_0_psi3_1_gam1_80_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair71/gab_sig32_0_theta1_9_psi0_0_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair71/gab_sig32_0_theta1_9_psi0_0_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair75/gab_sig28_0_theta1_3_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair75/gab_sig28_0_theta1_3_psi3_1_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair74/gab_sig20_0_theta2_0_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair74/gab_sig20_0_theta2_0_psi3_1_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair69/gab_sig28_0_theta0_8_psi0_0_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair69/gab_sig28_0_theta0_8_psi0_0_gam2_20_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair67/gab_sig28_0_theta1_0_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair67/gab_sig32_0_theta1_0_psi3_1_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair66/gab_sig24_0_theta0_1_psi0_0_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair66/gab_sig24_0_theta0_1_psi0_0_gam1_80_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair68/gab_sig32_0_theta0_9_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair68/gab_sig32_0_theta0_9_psi3_1_gam1_00_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair62/gab_sig20_0_theta1_7_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair62/gab_sig24_0_theta1_7_psi3_1_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair63/gab_sig20_0_theta1_6_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair63/gab_sig24_0_theta1_6_psi3_1_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair61/gab_sig20_0_theta1_8_psi0_0_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair61/gab_sig20_0_theta1_8_psi0_0_gam1_80_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair60/gab_sig32_0_theta0_6_psi0_0_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair60/gab_sig28_0_theta0_6_psi0_0_gam1_00_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair64/gab_sig32_0_theta1_8_psi3_1_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair64/gab_sig32_0_theta1_8_psi3_1_gam1_80_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair65/gab_sig32_0_theta1_2_psi0_0_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair65/gab_sig32_0_theta1_2_psi0_0_gam2_20_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair56/gab_sig32_0_theta0_3_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair56/gab_sig28_0_theta0_3_psi3_1_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair58/gab_sig24_0_theta0_5_psi0_0_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair58/gab_sig24_0_theta0_5_psi0_0_gam1_80_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair51/gab_sig24_0_theta0_2_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair51/gab_sig24_0_theta0_2_psi3_1_gam2_20_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair52/gab_sig24_0_theta1_2_psi0_0_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair52/gab_sig24_0_theta1_2_psi0_0_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair50/gab_sig28_0_theta0_6_psi3_1_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair50/gab_sig32_0_theta0_6_psi3_1_gam1_40_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair59/gab_sig20_0_theta0_2_psi0_0_gam2_20_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair59/gab_sig20_0_theta0_2_psi0_0_gam2_20_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair53/gab_sig24_0_theta0_8_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair53/gab_sig24_0_theta0_8_psi3_1_gam1_00_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair54/gab_sig32_0_theta1_6_psi3_1_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair54/gab_sig32_0_theta1_6_psi3_1_gam1_80_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair55/gab_sig20_0_theta0_1_psi0_0_gam2_20_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair55/gab_sig20_0_theta0_1_psi0_0_gam1_80_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair57/gab_sig24_0_theta0_8_psi3_1_gam2_20_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair57/gab_sig24_0_theta0_8_psi3_1_gam2_20_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair45/gab_sig28_0_theta1_1_psi3_1_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair45/gab_sig28_0_theta1_1_psi3_1_gam1_80_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair49/gab_sig32_0_theta0_8_psi0_0_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair49/gab_sig32_0_theta0_8_psi0_0_gam1_00_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair41/gab_sig24_0_theta1_4_psi0_0_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair41/gab_sig20_0_theta1_4_psi0_0_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair46/gab_sig32_0_theta1_3_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair46/gab_sig32_0_theta1_3_psi3_1_gam1_40_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair44/gab_sig24_0_theta0_7_psi0_0_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair44/gab_sig20_0_theta0_7_psi0_0_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair47/gab_sig32_0_theta1_0_psi3_1_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair47/gab_sig28_0_theta1_0_psi3_1_gam1_80_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair42/gab_sig28_0_theta1_9_psi3_1_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair42/gab_sig28_0_theta1_9_psi3_1_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair40/gab_sig28_0_theta0_2_psi3_1_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair40/gab_sig32_0_theta0_2_psi3_1_gam1_80_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair48/gab_sig32_0_theta0_1_psi3_1_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair48/gab_sig32_0_theta0_1_psi3_1_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair43/gab_sig32_0_theta0_5_psi0_0_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair43/gab_sig28_0_theta0_5_psi0_0_gam1_40_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair32/gab_sig32_0_theta1_3_psi0_0_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair32/gab_sig28_0_theta1_3_psi0_0_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair34/gab_sig24_0_theta0_1_psi3_1_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair34/gab_sig24_0_theta0_1_psi3_1_gam1_80_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair30/gab_sig24_0_theta0_5_psi0_0_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair30/gab_sig20_0_theta0_5_psi0_0_gam1_00_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair39/gab_sig32_0_theta1_4_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair39/gab_sig32_0_theta1_4_psi3_1_gam2_20_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair37/gab_sig28_0_theta1_5_psi0_0_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair37/gab_sig28_0_theta1_5_psi0_0_gam1_00_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair31/gab_sig20_0_theta0_9_psi3_1_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair31/gab_sig20_0_theta0_9_psi3_1_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair36/gab_sig20_0_theta1_7_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair36/gab_sig20_0_theta1_7_psi3_1_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair38/gab_sig28_0_theta0_4_psi3_1_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair38/gab_sig28_0_theta0_4_psi3_1_gam2_20_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair35/gab_sig28_0_theta0_8_psi0_0_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair35/gab_sig28_0_theta0_8_psi0_0_gam2_20_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair33/gab_sig24_0_theta0_6_psi0_0_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair33/gab_sig24_0_theta0_6_psi0_0_gam2_20_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair26/gab_sig20_0_theta1_4_psi0_0_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair26/gab_sig20_0_theta1_4_psi0_0_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair25/gab_sig24_0_theta2_1_psi0_0_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair25/gab_sig20_0_theta2_1_psi0_0_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair27/gab_sig20_0_theta2_0_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair27/gab_sig20_0_theta2_0_psi3_1_gam2_20_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair29/gab_sig28_0_theta1_7_psi0_0_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair29/gab_sig32_0_theta1_7_psi0_0_gam1_40_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair22/gab_sig32_0_theta0_1_psi0_0_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair22/gab_sig32_0_theta0_1_psi0_0_gam1_40_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair24/gab_sig28_0_theta2_1_psi3_1_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair24/gab_sig28_0_theta2_1_psi3_1_gam1_00_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair21/gab_sig24_0_theta1_6_psi0_0_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair21/gab_sig24_0_theta1_6_psi0_0_gam1_00_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair28/gab_sig28_0_theta0_1_psi3_1_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair28/gab_sig32_0_theta0_1_psi3_1_gam1_80_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair23/gab_sig28_0_theta1_9_psi3_1_gam2_20_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair23/gab_sig28_0_theta1_9_psi3_1_gam1_80_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair20/gab_sig28_0_theta1_9_psi3_1_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair20/gab_sig32_0_theta1_9_psi3_1_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair11/gab_sig28_0_theta2_1_psi0_0_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair11/gab_sig32_0_theta2_1_psi0_0_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair14/gab_sig32_0_theta0_7_psi0_0_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair14/gab_sig32_0_theta0_7_psi0_0_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair17/gab_sig28_0_theta2_0_psi0_0_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair17/gab_sig28_0_theta2_0_psi0_0_gam2_20_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair12/gab_sig32_0_theta1_0_psi3_1_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair12/gab_sig32_0_theta1_0_psi3_1_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair10/gab_sig32_0_theta1_8_psi3_1_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair10/gab_sig32_0_theta1_8_psi3_1_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair19/gab_sig32_0_theta1_1_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair19/gab_sig32_0_theta1_1_psi3_1_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair16/gab_sig24_0_theta1_0_psi0_0_gam1_40_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair16/gab_sig24_0_theta1_0_psi0_0_gam1_40_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair13/gab_sig28_0_theta1_5_psi0_0_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair13/gab_sig28_0_theta1_5_psi0_0_gam1_00_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair15/gab_sig20_0_theta0_2_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair15/gab_sig20_0_theta0_2_psi3_1_gam1_00_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair18/gab_sig24_0_theta1_3_psi0_0_gam2_20_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair18/gab_sig24_0_theta1_3_psi0_0_gam1_80_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair100/gab_sig32_0_theta0_9_psi3_1_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair100/gab_sig28_0_theta0_9_psi3_1_gam1_00_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair101/gab_sig20_0_theta1_1_psi0_0_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair101/gab_sig20_0_theta1_1_psi0_0_gam1_00_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair102/gab_sig24_0_theta1_8_psi0_0_gam2_20_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair102/gab_sig20_0_theta1_8_psi0_0_gam2_20_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair103/gab_sig20_0_theta0_6_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair103/gab_sig20_0_theta0_6_psi3_1_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair104/gab_sig20_0_theta1_7_psi3_1_gam1_80_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair104/gab_sig20_0_theta1_7_psi3_1_gam1_80_lam20_0_cat_1.jpg,between
./experimentFiles/gabors/testing/pair105/gab_sig32_0_theta1_4_psi0_0_gam1_00_lam17_0_cat_0.jpg,./experimentFiles/gabors/testing/pair105/gab_sig28_0_theta1_4_psi0_0_gam1_00_lam17_0_cat_0.jpg,within
./experimentFiles/gabors/testing/pair106/gab_sig20_0_theta0_4_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair106/gab_sig20_0_theta0_4_psi3_1_gam1_00_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair107/gab_sig20_0_theta1_3_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair107/gab_sig20_0_theta1_3_psi3_1_gam1_40_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair108/gab_sig24_0_theta0_2_psi3_1_gam1_00_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair108/gab_sig24_0_theta0_2_psi3_1_gam1_40_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair109/gab_sig20_0_theta1_3_psi0_0_gam2_20_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair109/gab_sig20_0_theta1_3_psi0_0_gam1_80_lam20_0_cat_1.jpg,within
./experimentFiles/gabors/testing/pair196/gab_sig32_0_theta1_7_psi3_1_gam1_40_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair196/gab_sig32_0_theta1_7_psi3_1_gam1_40_lam17_0_cat_0.jpg,between
./experimentFiles/gabors/testing/pair194/gab_sig32_0_theta0_9_psi0_0_gam1_80_lam20_0_cat_1.jpg,./experimentFiles/gabors/testing/pair194/gab_sig32_0_theta0_9_psi0_0_gam1_80_lam17_0_cat_0.jpg,between
